Taxa;Biovolume
Achnanthes;1983
Actinastrum_hantzschii;189
Amphora;18840
Ankyra;2277
Aphanizomenon;2529
Aphanizomenon_gracile;2529
Aphanothece;1509
Asterionella;858
Aulacoseira;1988
Centronella;636
Ceratium;20412
Ceratium_hirundinella;20412
Chlamydomonas;1539
Chroococcus;351
Chroococcus_Synechocystis;58
Chroomonas;154
Closterium;530
Cocconeis;4638
Coelastrum;149
Coelastrum_microporum;149
Coelomoron;63
Coenochloris;524
Cosmacladium;5011
Cosmarium;372
Crucigenia;182
Crucigenia_tetrapedia;46
Cryptomonas;2761
Cuspidothrix;1696
Cyanocatena;703
Cyclotella;3231
Cymbella;1322
Diatoma;1085
Dictyosphaerium;73
Dinobryon;272
Dolichospermum;2941
Elakatothrix;115
Epithemia;1983
Euastrum;5011
Euglena;3794
Fragilaria;673
Geitlerinema;962
Golenkinia;1022
Gomphonema;262
Hormogonies;248
Kirchneriella;84
Lagerheimia;254
Lepocinclis;20459
Limnothrix;364
Merismopedia;1
Merismopedia_minutissima;1
Microcystis;74
Monoraphidium;61
Monoraphidium_contortum;61
Monoraphidium_griffithii;61
Mougeotia;8266
;2529
Navicula;371
Nitzschia;2748
Oocystis_lacustris;2065
Pandorina;13675
Pediastrum;5273
Pediastrum_duplex;6587
Pediastrum_tetras;3475
Peridiniopsis;15830
Peridinium;10819
Phacotus;975
Phacus;2235
Phormidium;981
Planktolyngbya;323
Planktolyngbya_circumcreta;323
Planktothrix;3
Planktothrix_spiroides;1308
Pseudanabaena;250
Raphidiopsis;1550
Raphidocelis;23
Scenedesmus;628
Schroederia;513
Snowella;17
Sphaerocystis;524
Spirulina;177
Staurastrum;3
Synechocystis;58
Tetraedron;823
Tetraedron_minimum;299
Trachelomonas;1950
Ulnaria;1200
Ulnaria_ulna;1200
Volvox;2729
Woronichinia_naegeliana;369
