sample;lake;month;month_full;lake_month;nb_reads_PE;Nb_contigs
M_A_1;GDP;A;June;GDP_A;23100000;2400804
M_A_2;BOI;A;June;BOI_A;14800000;1765401
M_A_3;CTL;A;June;CTL_A;20600000;1850010
M_A_4;VER;A;June;VER_A;17800000;1520557
M_A_5;CRJ1;A;June;CRJ1_A;21400000;2322197
M_A_7;JAB;A;June;JAB_A;14600000;1294135
M_A_8;VAI;A;June;VAI_A;18600000;2004705
M_A_9;CHA;A;June;CHA_A;14700000;1648048
M_B_1;GDP;B;July;GDP_B;25000000;2431245
M_B_2;BOI;B;July;BOI_B;12500000;1421213
M_B_3;CTL;B;July;CTL_B;15800000;1577528
M_B_4;VER;B;July;VER_B;56000000;5508907
M_B_5;CRJ1;B;July;CRJ1_B;16400000;1759083
M_B_6;CRJ2;B;July;CRJ2_B;18100000;2408696
M_B_7;JAB;B;July;JAB_B;9200000;1032951
M_B_8;VAI;B;July;VAI_B;8600000;961320
M_B_9;CHA;B;July;CHA_B;12700000;1328643
M_C_1;GDP;C;August;GDP_C;15400000;1866665
M_C_2;BOI;C;August;BOI_C;15000000;1773597
M_C_3;CTL;C;August;CTL_C;17300000;1977487
M_C_4;VER;C;August;VER_C;12900000;1771637
M_C_5;CRJ1;C;August;CRJ1_C;20600000;1864858
M_C_6;CRJ2;C;August;CRJ2_C;19400000;1821628
M_C_7;JAB;C;August;JAB_C;13000000;1330859
M_C_8;VAI;C;August;VAI_C;22500000;2271051
M_C_9;CHA;C;August;CHA_C;16200000;1398845
M_D_1;GDP;D;September;GDP_D;14500000;1503755
M_D_2;CTL;D;September;CTL_D;17800000;2244797
M_D_3;BOI;D;September;BOI_D;11300000;1407567
M_D_4;VER;D;September;VER_D;11900000;1465388
M_D_5;CRJ1;D;September;CRJ1_D;8600000;898560
M_D_6;CRJ2;D;September;CRJ2_D;16800000;2019745
M_D_7;JAB;D;September;JAB_D;12500000;1079670
M_D_8;VAI;D;September;VAI_D;10000000;978976
M_D_9;CHA;D;September;CHA_D;22100000;1129593
