sample;Phylum;Class;Order;Taxa;Form;nb;percent;lake;month_full;column
BOI-A-W1;Cyanobacteria;Cyanophyceae;Synechococcales;Cyanocatena;;476;89.13857678;BOI;Jun.;W1
BOI-A-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;2;0.374531835;BOI;Jun.;W1
BOI-A-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;0.936329588;BOI;Jun.;W1
BOI-A-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;12;2.247191011;BOI;Jun.;W1
BOI-A-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;6;1.123595506;BOI;Jun.;W1
BOI-A-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;4;0.74906367;BOI;Jun.;W1
BOI-A-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;7;1.310861423;BOI;Jun.;W1
BOI-A-W1;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;4;0.74906367;BOI;Jun.;W1
BOI-A-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;4;0.74906367;BOI;Jun.;W1
BOI-A-W1;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;2;0.374531835;BOI;Jun.;W1
BOI-A-W1;Bacillariophyta;Mediophyceae;Stephanodiscales;Cyclotella;;7;1.310861423;BOI;Jun.;W1
BOI-A-W1;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryon;;1;0.187265918;BOI;Jun.;W1
BOI-A-W1;Euglenozoa;Euglenophyceae;Euglenida;Trachelomonas;;4;0.74906367;BOI;Jun.;W1
BOI-A-W2;Cyanobacteria;Cyanophyceae;Synechococcales;Cyanocatena;;565;83.82789318;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.445103858;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;6;0.890207715;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;1;0.148367953;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;15;2.225519288;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;10;1.483679525;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Chlorophyceae;Chlamydomonadales;Phacotus;;4;0.59347181;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;13;1.928783383;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;3;0.445103858;BOI;Jun.;W2
BOI-A-W2;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;20;2.96735905;BOI;Jun.;W2
BOI-A-W2;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.148367953;BOI;Jun.;W2
BOI-A-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;5;0.741839763;BOI;Jun.;W2
BOI-A-W2;Bacillariophyta;Mediophyceae;Stephanodiscales;Cyclotella;;20;2.96735905;BOI;Jun.;W2
BOI-A-W2;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryon;;4;0.59347181;BOI;Jun.;W2
BOI-A-W2;Euglenozoa;Euglenophyceae;Euglenida;Trachelomonas;;4;0.59347181;BOI;Jun.;W2
BOI-A-W3;Cyanobacteria;Cyanophyceae;Synechococcales;Cyanocatena;;377;83.03964758;BOI;Jun.;W3
BOI-A-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.660792952;BOI;Jun.;W3
BOI-A-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;4;0.881057269;BOI;Jun.;W3
BOI-A-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;12;2.643171806;BOI;Jun.;W3
BOI-A-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;10;2.202643172;BOI;Jun.;W3
BOI-A-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;8;1.762114537;BOI;Jun.;W3
BOI-A-W3;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;8;1.762114537;BOI;Jun.;W3
BOI-A-W3;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.220264317;BOI;Jun.;W3
BOI-A-W3;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;2;0.440528634;BOI;Jun.;W3
BOI-A-W3;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;1;0.220264317;BOI;Jun.;W3
BOI-A-W3;Bacillariophyta;Mediophyceae;Stephanodiscales;Cyclotella;;19;4.185022026;BOI;Jun.;W3
BOI-A-W3;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryon;;2;0.440528634;BOI;Jun.;W3
BOI-A-W3;Euglenozoa;Euglenophyceae;Euglenida;Trachelomonas;;7;1.54185022;BOI;Jun.;W3
BOI-B-W1;Cyanobacteria;Cyanophyceae;Synechococcales;Cyanocatena;;245;53.49344978;BOI;Jul.;W1
BOI-B-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.655021834;BOI;Jul.;W1
BOI-B-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;4;0.873362445;BOI;Jul.;W1
BOI-B-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;60;13.10043668;BOI;Jul.;W1
BOI-B-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;7;1.528384279;BOI;Jul.;W1
BOI-B-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;9;1.965065502;BOI;Jul.;W1
BOI-B-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;20;4.366812227;BOI;Jul.;W1
BOI-B-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;55;12.00873362;BOI;Jul.;W1
BOI-B-W1;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;7;1.528384279;BOI;Jul.;W1
BOI-B-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;1;0.218340611;BOI;Jul.;W1
BOI-B-W1;Bacillariophyta;Mediophyceae;Stephanodiscales;Cyclotella;;21;4.585152838;BOI;Jul.;W1
BOI-B-W1;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;2;0.436681223;BOI;Jul.;W1
BOI-B-W1;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;1;0.218340611;BOI;Jul.;W1
BOI-B-W1;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryon;;22;4.80349345;BOI;Jul.;W1
BOI-B-W1;Miozoa;Dinophyceae;Peridiniales;Peridinium;;1;0.218340611;BOI;Jul.;W1
BOI-B-W2;Cyanobacteria;Cyanophyceae;Synechococcales;Cyanocatena;;105;22.87581699;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Coelastrum_microporum;;2;0.435729847;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;8;1.74291939;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;1.089324619;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;9;1.960784314;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;60;13.07189542;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Schroederia;;6;1.307189542;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;40;8.71459695;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;10;2.178649237;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;38;8.278867102;BOI;Jul.;W2
BOI-B-W2;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;55;11.98257081;BOI;Jul.;W2
BOI-B-W2;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;4;0.871459695;BOI;Jul.;W2
BOI-B-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;1;0.217864924;BOI;Jul.;W2
BOI-B-W2;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;5;1.089324619;BOI;Jul.;W2
BOI-B-W2;Bacillariophyta;Mediophyceae;Stephanodiscales;Cyclotella;;10;2.178649237;BOI;Jul.;W2
BOI-B-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;3;0.653594771;BOI;Jul.;W2
BOI-B-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;1;0.217864924;BOI;Jul.;W2
BOI-B-W2;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryon;;30;6.535947712;BOI;Jul.;W2
BOI-B-W2;Euglenozoa;Euglenophyceae;Euglenida;Trachelomonas;;60;13.07189542;BOI;Jul.;W2
BOI-B-W2;Miozoa;Dinophyceae;Peridiniales;Peridinium;;7;1.525054466;BOI;Jul.;W2
BOI-B-W3;Cyanobacteria;Cyanophyceae;Synechococcales;Cyanocatena;;207;49.87951807;BOI;Jul.;W3
BOI-B-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;2;0.481927711;BOI;Jul.;W3
BOI-B-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;1.204819277;BOI;Jul.;W3
BOI-B-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;29;6.987951807;BOI;Jul.;W3
BOI-B-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;22;5.301204819;BOI;Jul.;W3
BOI-B-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;22;5.301204819;BOI;Jul.;W3
BOI-B-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;31;7.469879518;BOI;Jul.;W3
BOI-B-W3;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;49;11.80722892;BOI;Jul.;W3
BOI-B-W3;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.240963855;BOI;Jul.;W3
BOI-B-W3;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;2;0.481927711;BOI;Jul.;W3
BOI-B-W3;Bacillariophyta;Mediophyceae;Stephanodiscales;Cyclotella;;15;3.614457831;BOI;Jul.;W3
BOI-B-W3;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryon;;24;5.78313253;BOI;Jul.;W3
BOI-B-W3;Euglenozoa;Euglenophyceae;Euglenida;Trachelomonas;;6;1.445783133;BOI;Jul.;W3
BOI-C-W1;Cyanobacteria;Cyanophyceae;Synechococcales;Cyanocatena;;476;89.13857678;BOI;Aug.;W1
BOI-C-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;2;0.374531835;BOI;Aug.;W1
BOI-C-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;0.936329588;BOI;Aug.;W1
BOI-C-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;12;2.247191011;BOI;Aug.;W1
BOI-C-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;6;1.123595506;BOI;Aug.;W1
BOI-C-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;4;0.74906367;BOI;Aug.;W1
BOI-C-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;7;1.310861423;BOI;Aug.;W1
BOI-C-W1;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;4;0.74906367;BOI;Aug.;W1
BOI-C-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;4;0.74906367;BOI;Aug.;W1
BOI-C-W1;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;2;0.374531835;BOI;Aug.;W1
BOI-C-W1;Bacillariophyta;Mediophyceae;Stephanodiscales;Cyclotella;;7;1.310861423;BOI;Aug.;W1
BOI-C-W1;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryon;;1;0.187265918;BOI;Aug.;W1
BOI-C-W1;Euglenozoa;Euglenophyceae;Euglenida;Trachelomonas;;4;0.74906367;BOI;Aug.;W1
BOI-C-W2;Cyanobacteria;Cyanophyceae;Synechococcales;Cyanocatena;;565;83.8;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.4;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;6;0.9;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;1;0.1;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;15;2.2;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;10;1.5;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Chlorophyceae;Chlamydomonadales;Phacotus;;4;0.6;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;13;1.9;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;3;0.4;BOI;Aug.;W2
BOI-C-W2;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;20;3;BOI;Aug.;W2
BOI-C-W2;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.15;BOI;Aug.;W2
BOI-C-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;5;0.74;BOI;Aug.;W2
